#Date/Time of Update: 2017-05-02 3:46:42 PM,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location
,11-03-17,10:30PM,99,DEN,Denver,Nuggets,103,SAC,Sacramento,Kings,Sleep Train Arena
,12-03-17,3:30PM,89,CHI,Chicago,Bulls,82,BOS,Boston,Celtics,TD Garden
,12-03-17,6:00PM,83,NYK,New York,Knicks,84,BRO,Brooklyn,Nets,Barclays Center
,12-03-17,6:00PM,92,MIA,Miami,Heat,87,IND,Indiana,Pacers,Bankers Life Fieldhouse
,12-03-17,9:00PM,97,POR,Portland,Trail Blazers,104,PHX,Phoenix,Suns,Talking Stick Resort Arena
,12-03-17,9:00PM,86,CLE,Cleveland,Cavaliers,109,HOU,Houston,Rockets,Toyota Center
,12-03-17,9:30PM,85,PHI,Philadelphia,76ers,105,LAL,Los Angeles,Lakers,Staples Center
,13-03-17,7:00PM,89,CHI,Chicago,Bulls,93,CHA,Charlotte,Hornets,Time Warner Cable Arena
,13-03-17,7:30PM,108,DAL,Dallas,Mavericks,81,TOR,Toronto,Raptors,Air Canada Centre
,13-03-17,8:00PM,90,MIL,Milwaukee,Bucks,107,MEM,Memphis,Grizzlies,FedEx Forum
,13-03-17,8:00PM,91,ATL,Atlanta,Hawks,106,SAS,San Antonio,Spurs,AT&T Center
,13-03-17,8:00PM,94,WAS,Washington,Wizards,100,MIN,Minnesota,Timberwolves,Target Center
,13-03-17,9:00PM,102,LAC,Los Angeles,Clippers,98,UTA,Utah,Jazz,Vivint Smart Home Arena
,13-03-17,10:30PM,95,ORL,Orlando,Magic,103,SAC,Sacramento,Kings,Sleep Train Arena
,13-03-17,10:30PM,105,LAL,Los Angeles,Lakers,99,DEN,Denver,Nuggets,Pepsi Center
,14-03-17,7:00PM,88,DET,Detroit,Pistons,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena
,14-03-17,7:30PM,96,OKL,Oklahoma City,Thunder,84,BRO,Brooklyn,Nets,Barclays Center
,14-03-17,7:30PM,87,IND,Indiana,Pacers,83,NYK,New York,Knicks,Madison Square Garden
,14-03-17,8:00PM,97,POR,Portland,Trail Blazers,110,NOP,New Orleans,Pelicans,Smoothie King Center
,14-03-17,10:30PM,85,PHI,Philadelphia,76ers,101,GSW,Golden State,Warriors,Oracle Arena
,15-03-17,7:00PM,108,DAL,Dallas,Mavericks,94,WAS,Washington,Wizards,Verizon Center
,15-03-17,7:00PM,93,CHA,Charlotte,Hornets,87,IND,Indiana,Pacers,Bankers Life Fieldhouse
,15-03-17,7:30PM,100,MIN,Minnesota,Timberwolves,82,BOS,Boston,Celtics,TD Garden
,15-03-17,7:30PM,110,NOP,New Orleans,Pelicans,92,MIA,Miami,Heat,American Airlines Arena
,15-03-17,7:30PM,98,UTA,Utah,Jazz,88,DET,Detroit,Pistons,Palace of Auburn Hills
,15-03-17,8:00PM,107,MEM,Memphis,Grizzlies,89,CHI,Chicago,Bulls,United Center
,15-03-17,8:00PM,105,LAL,Los Angeles,Lakers,109,HOU,Houston,Rockets,Toyota Center
,15-03-17,8:00PM,97,POR,Portland,Trail Blazers,106,SAS,San Antonio,Spurs,AT&T Center
,15-03-17,10:00PM,103,SAC,Sacramento,Kings,104,PHX,Phoenix,Suns,Talking Stick Resort Arena
,15-03-17,10:30PM,90,MIL,Milwaukee,Bucks,102,LAC,Los Angeles,Clippers,Staples Center
,16-03-17,7:00PM,98,UTA,Utah,Jazz,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena
,16-03-17,7:00PM,96,OKL,Oklahoma City,Thunder,81,TOR,Toronto,Raptors,Air Canada Centre
,16-03-17,7:30PM,84,BRO,Brooklyn,Nets,83,NYK,New York,Knicks,Madison Square Garden
,16-03-17,7:30PM,107,MEM,Memphis,Grizzlies,91,ATL,Atlanta,Hawks,Philips Arena
,16-03-17,9:00PM,102,LAC,Los Angeles,Clippers,99,DEN,Denver,Nuggets,Pepsi Center
,16-03-17,10:30PM,95,ORL,Orlando,Magic,101,GSW,Golden State,Warriors,Oracle Arena
,17-03-17,7:00PM,108,DAL,Dallas,Mavericks,85,PHI,Philadelphia,76ers,Wells Fargo Center
,17-03-17,7:00PM,89,CHI,Chicago,Bulls,94,WAS,Washington,Wizards,Verizon Center
,17-03-17,7:30PM,82,BOS,Boston,Celtics,84,BRO,Brooklyn,Nets,Barclays Center
,17-03-17,7:30PM,81,TOR,Toronto,Raptors,88,DET,Detroit,Pistons,Palace of Auburn Hills
,17-03-17,8:00PM,109,HOU,Houston,Rockets,110,NOP,New Orleans,Pelicans,Smoothie King Center
,17-03-17,8:00PM,100,MIN,Minnesota,Timberwolves,92,MIA,Miami,Heat,American Airlines Arena
,17-03-17,9:00PM,95,ORL,Orlando,Magic,104,PHX,Phoenix,Suns,Talking Stick Resort Arena
,17-03-17,10:30PM,90,MIL,Milwaukee,Bucks,105,LAL,Los Angeles,Lakers,Staples Center
,18-03-17,3:00PM,103,SAC,Sacramento,Kings,96,OKL,Oklahoma City,Thunder,Chesapeake Energy Arena
,18-03-17,6:00PM,97,POR,Portland,Trail Blazers,91,ATL,Atlanta,Hawks,Philips Arena
,18-03-17,7:00PM,94,WAS,Washington,Wizards,93,CHA,Charlotte,Hornets,Time Warner Cable Arena
,18-03-17,8:30PM,86,CLE,Cleveland,Cavaliers,102,LAC,Los Angeles,Clippers,Staples Center
,18-03-17,9:00PM,98,UTA,Utah,Jazz,89,CHI,Chicago,Bulls,United Center
,18-03-17,9:00PM,106,SAS,San Antonio,Spurs,107,MEM,Memphis,Grizzlies,FedEx Forum
,18-03-17,9:30PM,109,HOU,Houston,Rockets,99,DEN,Denver,Nuggets,Pepsi Center
,18-03-17,10:30PM,90,MIL,Milwaukee,Bucks,101,GSW,Golden State,Warriors,Oracle Arena
,19-03-17,12:00PM,108,DAL,Dallas,Mavericks,84,BRO,Brooklyn,Nets,Barclays Center
,19-03-17,1:00PM,82,BOS,Boston,Celtics,85,PHI,Philadelphia,76ers,Wells Fargo Center
,19-03-17,4:30PM,104,PHX,Phoenix,Suns,88,DET,Detroit,Pistons,Palace of Auburn Hills
,19-03-17,6:00PM,100,MIN,Minnesota,Timberwolves,110,NOP,New Orleans,Pelicans,Smoothie King Center
,19-03-17,6:00PM,87,IND,Indiana,Pacers,81,TOR,Toronto,Raptors,Air Canada Centre
,19-03-17,6:00PM,97,POR,Portland,Trail Blazers,92,MIA,Miami,Heat,American Airlines Arena
,19-03-17,7:00PM,103,SAC,Sacramento,Kings,106,SAS,San Antonio,Spurs,AT&T Center
,19-03-17,9:30PM,86,CLE,Cleveland,Cavaliers,105,LAL,Los Angeles,Lakers,Staples Center
,20-03-17,7:00PM,91,ATL,Atlanta,Hawks,93,CHA,Charlotte,Hornets,Time Warner Cable Arena
,20-03-17,7:00PM,85,PHI,Philadelphia,76ers,95,ORL,Orlando,Magic,Amway Center
,20-03-17,7:00PM,98,UTA,Utah,Jazz,87,IND,Indiana,Pacers,Bankers Life Fieldhouse
,20-03-17,7:30PM,94,WAS,Washington,Wizards,82,BOS,Boston,Celtics,TD Garden
,20-03-17,8:00PM,99,DEN,Denver,Nuggets,109,HOU,Houston,Rockets,Toyota Center
,20-03-17,8:00PM,101,GSW,Golden State,Warriors,96,OKL,Oklahoma City,Thunder,Chesapeake Energy Arena
,20-03-17,10:30PM,83,NYK,New York,Knicks,102,LAC,Los Angeles,Clippers,Staples Center
,21-03-17,7:00PM,89,CHI,Chicago,Bulls,81,TOR,Toronto,Raptors,Air Canada Centre
,21-03-17,7:30PM,88,DET,Detroit,Pistons,84,BRO,Brooklyn,Nets,Barclays Center
,21-03-17,7:30PM,104,PHX,Phoenix,Suns,92,MIA,Miami,Heat,American Airlines Arena
,21-03-17,8:00PM,107,MEM,Memphis,Grizzlies,110,NOP,New Orleans,Pelicans,Smoothie King Center
,21-03-17,8:30PM,101,GSW,Golden State,Warriors,108,DAL,Dallas,Mavericks,American Airlines Center
,21-03-17,9:30PM,106,SAS,San Antonio,Spurs,100,MIN,Minnesota,Timberwolves,Target Center
,21-03-17,10:00PM,90,MIL,Milwaukee,Bucks,97,POR,Portland,Trail Blazers,Moda Center
,21-03-17,10:30PM,102,LAC,Los Angeles,Clippers,105,LAL,Los Angeles,Lakers,Staples Center
,22-03-17,7:00PM,93,CHA,Charlotte,Hornets,95,ORL,Orlando,Magic,Amway Center
,22-03-17,7:30PM,87,IND,Indiana,Pacers,82,BOS,Boston,Celtics,TD Garden
,22-03-17,8:00PM,88,DET,Detroit,Pistons,89,CHI,Chicago,Bulls,United Center
,22-03-17,8:00PM,85,PHI,Philadelphia,76ers,96,OKL,Oklahoma City,Thunder,Chesapeake Energy Arena
,22-03-17,8:00PM,91,ATL,Atlanta,Hawks,94,WAS,Washington,Wizards,Verizon Center
,22-03-17,9:00PM,86,CLE,Cleveland,Cavaliers,99,DEN,Denver,Nuggets,Pepsi Center
,22-03-17,10:30PM,90,MIL,Milwaukee,Bucks,103,SAC,Sacramento,Kings,Sleep Train Arena
,22-03-17,10:30PM,83,NYK,New York,Knicks,98,UTA,Utah,Jazz,Vivint Smart Home Arena
